workload,tracepoints were traced last second,cumulative moving mean of page offsets,cumulative moving standard deviation of page offsets,absolute page offset differences for consecutive tracepoints,inode number
readrandom,48,2214585.75,3645047.6832559113,638,2755582
readrandom,49,2193506.1904761903,3634012.645199432,-637,2755582
readrandom,50,2172830.6226415094,3623030.203286427,664,2755582
readrandom,51,2152541.785046729,3612105.3722778605,29,2755582
readrandom,52,2132628.0092592593,3601239.869078705,-71,2755582
readrandom,53,2113080.2844036696,3590433.937762971,72,2755582
readrandom,54,2093887.3545454545,3579689.255038151,-68,2755582
readrandom,55,2075041.207207207,3569005.693858842,107,2755582
readrandom,56,2056530.9464285714,3558384.9108395344,-73,2755582
readrandom,57,2038339.4159292036,3547832.2286824235,-1004,2755582
readrandom,58,2020469.596491228,3537341.457485198,292,2755582
readrandom,59,2002900.6434782608,3526920.1761432034,-1140,2755582
readrandom,60,1985637.8189655172,3516561.1508278977,373,2755582
readrandom,61,1968683.4102564103,3506259.0776477284,1559,2755582
readrandom,62,1952011.9830508474,3496024.3271180848,-517,2755582
readrandom,63,1935621.1176470588,3485854.355093324,44,2755582
readrandom,64,1919503.3333333333,3475749.547980446,-12,2755582
readrandom,65,1903654.958677686,3465708.27203934,363,2755582
readrandom,66,1888066.450819672,3455732.209114891,7,2755582
readrandom,67,1872728.1544715448,3445823.1389893014,-401,2755582
readrandom,68,1857637.2661290322,3435979.173019947,2,2755582
readrandom,69,1842787.792,3426200.2433839324,-5,2755582
readrandom,70,1828174.0714285714,3416486.1700596507,6,2755582
readrandom,71,1813794.3622047245,3406834.75453307,492,2755582
readrandom,72,1799635.5,3397249.947020699,-491,2755582
readrandom,73,1785696.1705426357,3387729.4361814633,2,2755582
readrandom,74,1771971.3,3378272.981825249,1,2755582
readrandom,75,1758454.6183206106,3368881.025643269,-177,2755582
readrandom,76,1745147.7045454546,3359549.9784573913,656,2755582
readrandom,77,1732032.7218045113,3350286.3981423415,-1087,2755582
readrandom,78,1719112.671641791,3341086.0528657306,-109,2755582
readrandom,79,1706393.0666666667,3331943.551342799,1220,2755582
readrandom,80,1693855.5588235294,3322865.79990667,-674,2755582
readrandom,81,1681492.489051095,3313854.2031653877,-1177,2755582
readrandom,82,1669321.072463768,3304897.622691225,1722,2755582
readrandom,83,1657320.0647482015,3296004.4885991677,-656,2755582
readrandom,84,1645495.2,3287169.6233433867,658,2755582
readrandom,85,1633838.070921986,3278395.0197559763,1,2755582
readrandom,86,1622341.2746478873,3269682.1733111665,-547,2755582
readrandom,87,1610999.5874125874,3261031.5138471015,-813,2755582
readrandom,88,1599815.736111111,3252439.5881034993,45,2755582
readrandom,89,1588796.2689655172,3243901.1654602042,1468,2755582
readrandom,90,1577918.397260274,3235425.431533572,-1366,2755582
readrandom,91,1567186.387755102,3227008.3189070597,-314,2755582
readrandom,1,1556597.2905405406,3218649.34485323,-313,8388611
readrandom,2,1609487.4697986578,3271725.28036488,9437234,8388611
readrandom,3,1661672.9266666668,3322438.8681329708,72,8388611
readrandom,4,1657613.0,3311792.4409129447,-8388682,8388611
readrandom,5,1653606.4868421052,3301247.545106162,-1,8388611
readrandom,6,1704483.496732026,3349694.3917631023,8389166,8388611
readrandom,7,1754700.0064935065,3396087.7798392824,37,8388611
readrandom,8,1804268.5548387098,3440550.4514611843,-1,8388611
readrandom,9,1853201.7243589743,3483194.9784388393,18,8388611
readrandom,10,1901511.694267516,3524124.0539813517,24,8388611
readrandom,11,1949210.1392405063,3563431.418060466,-1,8388611
readrandom,12,1996308.6352201258,3601203.6817869754,5,8388611
readrandom,13,2042818.13125,3637520.029513494,-43,8388611
readrandom,14,2088749.9937888198,3672455.060574482,20,8388611
readrandom,15,2134114.7901234566,3706076.8833676293,-1,8388611
readrandom,16,2178922.981595092,3738449.065787309,3,8388611
readrandom,17,2223184.475609756,3769630.20899803,-42,8388611
readrandom,18,2266909.6484848484,3799676.3156953375,30,8388611
readrandom,19,2310104.8493975904,3828632.6748476843,-525,8388611
readrandom,20,2352785.760479042,3856559.182527736,504,8388611
readrandom,21,2394958.5714285714,3883495.314225299,1,8388611
readrandom,22,2436632.2840236686,3909483.5101942993,-2,8388611
readrandom,23,2477815.882352941,3934564.026140715,28,8388611
readrandom,24,2518515.2865497074,3958769.780074137,-430,8388611
readrandom,25,2561796.4360465114,3987614.552378876,525459,8388611
readrandom,26,2610631.0,4027324.699779564,1047303,8388611
readrandom,1,2595628.4022988505,4020580.567360465,-11009997,2754057
readrandom,2,2580807.6285714284,4013840.5933750193,1814,2755582
readrandom,3,2566143.9488636362,4007119.4298105193,-1993,2755582
readrandom,4,2551648.2259887005,4000408.8227093583,401,2755582
readrandom,5,2537319.741573034,3993708.0264821774,777,2755582
readrandom,6,2523153.407821229,3987019.0923058284,368,2755582
readrandom,7,2509144.5444444446,3980343.8022269635,12,2755582
readrandom,8,2495286.900552486,3973684.916351133,-647,2755582
readrandom,9,2481585.164835165,3967038.3319681557,660,2755582
readrandom,10,2468033.349726776,3960406.677555493,32,2755582
readrandom,11,2454625.0815217393,3953792.7995849135,-691,2755582
readrandom,12,2441364.891891892,3947192.7780892137,578,2755582
readrandom,13,2428245.5483870967,3940610.01433622,-323,2755582
readrandom,14,2415270.8235294116,3934041.1235994184,805,2755582
readrandom,15,2402433.388297872,3927489.5735755158,-139,2755582
readrandom,16,2389728.328042328,3920957.326978606,-656,2755582
readrandom,17,2377160.510526316,3914440.3968345956,666,2755582
readrandom,18,2364722.476439791,3907942.322973842,-347,2755582
readrandom,19,2352415.921875,3901461.092944419,368,2755582
readrandom,20,2340234.7772020726,3894999.3997450857,-409,2755582
readrandom,21,2328177.793814433,3888557.02826471,-275,2755582
readrandom,22,2316245.8871794874,3882132.4895286914,276,2755582
readrandom,23,2304435.7448979593,3875726.8409226825,2,2755582
readrandom,24,2292745.4771573604,3869340.2957869438,-5,2755582
readrandom,25,2281173.3232323234,3862973.0010450026,6,2755582
readrandom,26,2269719.944723618,3856623.68946714,492,2755582
readrandom,27,2258378.645,3850295.435619598,-491,2755582
